district,dem_votes,rep_votes,weight,winner,margin,margin_pct
0,130401.0,170821.0,668741.0,GOP,-40420.0,-13.418674598800884
1,243353.0,42576.0,805598.0,Dem,200777.0,70.21918028601506
2,180452.0,177403.0,776080.0,Dem,3049.0,0.852021069986447
3,177693.0,140984.0,775739.0,Dem,36709.0,11.519187139329164
4,137417.0,48969.0,786040.0,Dem,88448.0,47.4542079340723
5,204562.0,22758.0,778326.0,Dem,181804.0,79.97712475805032
6,153022.0,193139.0,774969.0,GOP,-40117.0,-11.589116047157248
7,162469.0,180090.0,778082.0,GOP,-17621.0,-5.143931410355589
8,165904.0,110506.0,778769.0,Dem,55398.0,20.041966643753845
9,152430.0,114402.0,777010.0,Dem,38028.0,14.251663968339628
10,161836.0,187935.0,776762.0,GOP,-26099.0,-7.461739252253617
11,148636.0,223425.0,778451.0,GOP,-74789.0,-20.101273715869173
12,150172.0,36946.0,785326.0,Dem,113226.0,60.51048001795658
13,209203.0,150908.0,776393.0,Dem,58295.0,16.188064235749533
14,171183.0,79974.0,808403.0,Dem,91209.0,36.31553171920353
15,168354.0,64180.0,780105.0,Dem,104174.0,44.799470185005205
16,112610.0,194656.0,779264.0,GOP,-82046.0,-26.701945545553365
17,191373.0,186131.0,778102.0,Dem,5242.0,1.3885945579384589
18,228378.0,56901.0,777226.0,Dem,171477.0,60.10852533835298
19,222856.0,187677.0,777128.0,Dem,35179.0,8.569104067151727
20,129468.0,64330.0,787764.0,Dem,65138.0,33.61128597818347
21,202487.0,155644.0,776747.0,Dem,46843.0,13.079850669168543
22,183958.0,155579.0,787473.0,Dem,28379.0,8.358146534840092
23,175559.0,212012.0,775828.0,GOP,-36453.0,-9.405502475675425
24,218048.0,143798.0,777183.0,Dem,74250.0,20.519779132559155
25,145053.0,63715.0,779573.0,Dem,81338.0,38.9609518700184
